Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
10,10,2800751485,518,640,480,what is the colour of the tail of the fish swimming outside the cave,yellow,6,DO,45
33,33,7171397887,1814,640,360,how did the man protect his head from injury,helmet,0,DO,39
47,47,5368243767,1679,640,1138,what is the colour of the vest that the woman was wearing,black,0,DO,29
67,67,4414047871,2697,640,480,who performs the dance steps first,girl in braids,6,DO,68
76,76,2779715525,1206,640,480,what is the relationship between kid and man,parent and child,2,DO,50
78,78,11849389436,969,640,360,what is the relationship among the three people in the video,parents child,7,DO,27
80,80,2446709374,618,640,428,which elephant crossed the road first,big elephant,0,DO,63
98,98,11961400954,1202,640,360,what did the lady in grey hold in her hands,phone,8,DO,77
124,124,3921366924,491,320,240,what are the men wearing,thick clothes,3,DO,58
133,133,12226111246,442,640,480,how did the people ensured that their faces and eyes are warm,mask and sunglasses,3,DO,22
135,135,10755524486,1373,640,1138,who went up the staircase first,the girl,9,DO,68
161,161,6783533553,1168,272,480,what performance is occuring,street performance,0,DO,65
171,171,6622915663,540,640,360,how did the people protect their heads from injury,wearing helmet,4,DO,22
181,181,13004616293,1274,640,360,how do the man and lady make the flag work for the desirable position,pull the string,2,DO,58
203,203,6217597005,1333,640,360,what is the peacock nibbling on in the middle of the video,grass,4,DO,52
230,230,5065103129,1236,640,480,while does the man stand at the rock,prepare for jumping,0,DO,58
233,233,7390605748,714,640,360,what is the relationship between the lady and the baby,parent offspring,5,DO,25
246,246,4648608582,2285,640,480,what color is the sofa,red,2,DO,27
257,257,5319843668,1417,640,360,what is the relationship between the boy and the girl,siblings,7,DO,68
273,273,4474236062,837,320,240,what kind of footwear is the lady wearing,sandals,6,DO,68
275,275,5368363137,1320,640,360,what is the relationship between the man and the boy,parent offspring,5,DO,31
282,282,3616966959,636,640,480,what is the colour of the top part of the microphone,blue,9,DO,68
305,305,3326899385,840,640,480,what is the relationship between the girl and the baby,siblings,0,DO,68
306,306,5884064019,1034,480,640,who is palying the toy drum with two sticks,a boy,10,DO,27
318,318,8481787117,720,640,360,what are the children playing with on the street,toys,4,DO,68
329,329,12396268245,2896,640,480,what is the relationship between the man and the baby,parent offspring,3,DO,68
333,333,8802047883,1351,640,360,how does the dog feel about meeting the girl,happy wagging tail,5,DO,77
343,343,8588257424,2070,640,360,how many people are there on the stage,three,6,DO,65
349,349,5312674396,388,640,480,how does the man position his knees as he was slowing down,bend the knees toward each other,7,DO,22
350,350,2776803136,813,500,281,how do you think the woman who appeared at the start is related to the boy in red,parent offspring,5,DO,68
354,354,6514699133,975,640,360,what is the colour of the car in the video,maroon,2,DO,52
356,356,11585702034,1320,640,360,what is the role of the lady in pink,judge,6,DO,71
382,382,11061971625,960,640,1138,which hand does the boy in white strap his camera on,right hand,9,DO,68
397,397,6188920051,1387,640,480,what features on the lady s tricycle differentiate it from other tricycles or bicycles,much more taller than conventional tricyce,4,DO,50
438,438,7209064294,1170,640,480,what did the girl do as the boy in green fell to the ground,look at boy in green,6,DO,68
439,439,6385308823,1274,640,360,at what pace were they cycling,slow,7,DO,50
444,444,3689483847,550,640,480,what does the boy wear on his head,cap and goggles,1,DO,16
445,445,3828863805,1249,640,480,what is the man carrying in his hands,camera,11,DO,39
446,446,3654654006,2552,640,360,what is the aim of this game,to get into net,7,DO,68
457,457,3165088958,1395,640,480,what is the relationship between the woman and the girl,parent offspring,9,DO,68
460,460,6440423935,339,568,320,what animal is shown in the video,dog,3,DO,68
461,461,3477693010,1519,640,480,what is the relationship between the man and the baby,parent offspring,4,DO,77
477,477,8329319376,2250,640,480,what is the relationship between the man and lady next to him,parent offspring,3,DO,68
498,498,8882814466,2144,640,1138,how does the child protect his shirt from stains,bib,4,DO,25
508,508,6591681113,834,640,360,what is the relationship between the boys,siblings,3,DO,68
510,510,7686790894,825,640,480,how is the boy controlling the car positioned on the floor,remote control,2,DO,64
526,526,5503778096,658,640,480,what is a possible relationship between the boy and the baby in pink,siblings,4,DO,68
528,528,5540466660,1795,640,360,what is the baby wearing,rainbow striped pants,5,DO,38
544,544,2936124994,1180,320,240,what did the baby take at the end of the video,blanket,8,DO,27
546,546,4790930424,1118,640,360,how does the girl in hat position her arms at the start of the video,crossed on the table,7,DO,77
555,555,5481226209,403,640,480,how is the weather like,snowy,1,DO,68
559,559,3268998630,309,640,480,what did the baby do halfway through the girl s reading,look away from book,7,DO,68
579,579,5124781697,1013,640,360,what is the relationship between the lady and the baby,parent offspring,3,DO,68
619,619,3784688175,2181,640,480,why does the lady have a big tummy,pregnant,0,DO,27
638,638,3828863805,1249,640,480,what is the relationship between the kid and the lady,parent offspring,4,DO,39
653,653,6298153272,2697,640,360,what is the colour of the bar that the boy is hanging from,yellow,4,DO,68
661,661,7211945726,885,480,640,what is the colour of the biscuit the baby is holding,brown,9,DO,25
673,673,5312973009,2697,640,360,what season of the year is this,winter,0,DO,71
697,697,4814913320,719,640,480,what is pasted on the woman s bag,portrait,5,DO,58
713,713,5123738290,2697,640,360,what is the relationship between the people on stage,bandmates,3,DO,65
716,716,8300239510,1008,640,360,which dog lies on its back initially,the white dog,2,DO,71
748,748,6379905555,480,640,480,what task the man in grey shorts has,holding the net,8,DO,58
756,756,4829041184,1853,640,480,what animal is that,dog,7,DO,27
757,757,6335467068,832,640,360,who is the lady in white sitting with,baby,6,DO,27
762,762,6315028936,919,480,800,what did the baby do with the toy in the middle of the video,bite toy,8,DO,68
777,777,7820929124,897,640,360,what is the colour of the girl s dress,white and red,7,DO,77
780,780,4641079421,1570,640,360,what additional things do the lady in white have compared to the other lady,pom poms,3,DO,29
788,788,6780595444,1754,480,800,what is the relationship between the man and the kid,parent offspring,2,DO,68
815,815,4624876965,2160,640,360,what is the relationship between the man and the lady,dance partners,7,DO,58
816,816,8727507710,362,640,360,how do the women sitting down in the middle of the video protect their eyes,sunglasses,0,DO,58
848,848,4671312629,1600,640,480,where is the setting of the video,city street,0,DO,58
879,879,3098211126,946,384,288,what is in the baby s mouth during the whole time,pacifier,6,DO,68
885,885,11585784946,1380,640,360,how did the lady in grey kept herself warm in the video,winter vest,4,DO,71
898,898,4861891761,432,640,360,what did both men wear,dark coloured tshirt,3,DO,16
906,906,9692375711,421,640,360,who walks faster in the video,man wearing blue jacket,5,DO,58
922,922,3767923672,1827,640,480,what was the painting about on the wall,scenery,9,DO,38
927,927,5479373398,678,640,362,what weather is this in the video,sunny,8,DO,68
959,959,5149181269,978,480,640,what is sitting beside the baby,soft toy,6,DO,38
968,968,3972321905,547,640,480,how did they protect their heads,wear helmets,2,DO,50
983,983,2737632741,1017,640,480,what did the boy throw off the cliff,stone,9,DO,68
987,987,5069582011,384,320,240,what is the colour of the helmet of the child who cycled past the 2 people,blue,8,DO,68
1031,1031,2950216986,2184,320,240,why is there many other instruments on the platform,other players,3,DO,65
1033,1033,2612939953,2221,640,480,what color is the horse that the man in red rides,white,0,DO,67
1052,1052,6301223138,637,640,480,what is the colour of what the woman is wearing,pink,4,DO,68
1071,1071,5332533757,1351,640,480,how did the man in black protect his hand from injury,gloves,0,DO,58
1078,1078,11117946583,1903,640,360,how did the boy feel riding on the toy car,happy,0,DO,52
1083,1083,5335851869,699,480,360,what colour shirt is the older man wearing,white,3,DO,68
1087,1087,9189821251,1337,640,480,what was the colour of the ball,white,8,DO,71
1088,1088,6863047871,772,640,360,what colour is the coat of the toddler pushing the swing,green,2,DO,23
1096,1096,5853657753,555,640,480,how did the lady in white help herself hear more clearly,close one ear,3,DO,3
1108,1108,3011742341,794,500,375,why are the ladies in the same costume,dancing costume,0,DO,58
1120,1120,2710168479,943,500,375,what is the relationship between this group of people,friends,3,DO,29
1124,1124,2957162127,574,320,240,what is the relationship between the animal and the man inside the water,trainer trainee,0,DO,45
1146,1146,3565727684,748,640,480,what is the animal shown in the video,monkey,2,DO,68
1152,1152,4704253964,845,640,480,what is the relationship between the man in white and the lady in blue standing infront,couple,2,DO,44
1155,1155,3501538867,1293,640,480,what is the boy holding in his hand,kite handle,5,DO,68
1157,1157,8267897544,930,640,360,what colour is the shirt of the woman sitting nearest to the camera,white,8,DO,58
1175,1175,9186559718,379,640,360,what are the colourful objects in the bathtub with the baby,toys,0,DO,38
