Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
5,5,4890651848,1316,640,480,why did the person in white stretch his arm out near the middle,point to gun,8,CW,58
6,6,5315162570,2159,640,360,why does the baby lift up his feet for a while near the end of the video,stretching,5,CW,38
7,7,2427193811,1047,320,240,why does the cat sway its body as it watches the show in the middle,change sitting position,6,CW,62
12,12,2405799604,1419,320,240,why are the boys in black collecting the ball being thrown by the boy in white jacket,give him more balls to throw,3,CW,49
13,13,4889389323,1118,640,362,why did the girl bend down after walking out of a house for a few steps,tie shoelace,6,CW,52
15,15,3297776560,1373,320,240,why are the ladies moving their bodies in the video,dancing,2,CW,58
16,16,2990913920,482,500,375,why does the person touch the dog,to play with them,2,CW,16
20,20,2625296233,2452,500,375,why did the boy look on his right after staring at his spoon,someone calls him,5,CW,68
21,21,6575303259,717,640,360,why did the girl in the middle lean forward after singing the birthday song,blow the cake,2,CW,68
26,26,3098368505,2694,640,480,why did the lady pass santa claus the present,to give to the boy,4,CW,27
27,27,3597467356,1138,640,362,why is the boy in white wet,he is in ocean,10,CW,68
28,28,2606751466,1435,320,240,why did the man in green look at the checkered shirt man s face,it was bloodied,11,CW,58
36,36,3982987927,423,640,480,why does the child touch the base of the phone with her right hand,maintain grip,1,CW,68
38,38,6988052870,439,640,360,why does the man walk away when the woman throws her hands,giving her space to perform,3,CW,58
39,39,5463556386,2160,640,424,why did the guy move his head while playing the guitar,engrossed in performance,8,CW,65
40,40,5573667855,662,640,362,why does the baby in blue approach the blue ball in front of him at the end of the video,catch it,2,CW,38
41,41,5849618622,1800,640,360,why did the green shirt man walk to fire,throw cigarettes,2,CW,58
42,42,4809420567,889,640,480,why did the man hang a small toy at the start,attract baby s attention,0,CW,38
54,54,3914555606,1410,640,480,why did the lady in pink put the pedal into the water,move forward,3,CW,61
57,57,7796070742,1441,640,362,why do the people near the bench look at the man standing when he starts talking,paying attention,3,CW,58
58,58,5003718676,2250,640,480,why did the boy drive with the blue vehicle in circles,lose control of the car,6,CW,40
61,61,4160188702,2115,640,480,why did the man go to the box,take out leaves,7,CW,16
