Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
0,0,3606518674,2622,640,480,is the man on guitar proficient in playing it,yes,1,DB,65
22,22,6937124265,781,640,480,are the kitchen utenstils real or toy,toy,5,DB,38
37,37,8308556521,388,604,1072,is the girl in orange dancing alone or to someone else in the video,someone else,2,DB,68
71,71,4752875872,1559,640,480,are the dogs wild or domesticated,domesticated,2,DB,71
79,79,6154068154,2250,640,360,is this a formal event,yes,0,DB,65
82,82,7835844714,1572,640,360,is this happening in a shore park,yes,6,DB,16
114,114,6896601567,1212,640,480,are they the only dogs present,yes,7,DB,71
121,121,7931679102,1708,640,360,is there a baby in the baby stroller,yes,5,DB,7
130,130,5386700793,1335,640,360,is the dog domesticated or wild,domesticated,0,DB,71
138,138,5296198015,2697,640,480,is this a wedding,yes,1,DB,16
141,141,4894877618,781,640,480,are the mozart drivers in a race,yes,5,DB,52
143,143,7585333734,1436,640,480,what instrument is being played in the video,yes,3,DB,68
149,149,3055520900,1026,500,375,are the cats domesticated or wild,domesticated,4,DB,1
152,152,8375283091,1689,640,360,is the baby learning how to ride a tricycle or proficient at riding it,learning,1,DB,68
156,156,4204053300,451,640,480,does the boy in checkered know how to tear off the wrapper,no,7,DB,68
162,162,2918932774,898,320,240,are the people performing on stage,yes,1,DB,58
191,191,4254574573,975,640,360,are the mouths in the phones real or fake,fake,3,DB,3
192,192,2442932012,2697,500,375,is the baby panda having fun playing with the orange toy,yes,2,DB,4
215,215,6442711009,1554,640,360,are the brown and black dogs playing or fighting,fighting,0,DB,71
262,262,4283455837,853,640,360,is the man in black and gold being serious or funny when reading the book,funny,4,DB,38
284,284,7363189682,1008,640,360,is the man rollerblading new or proficient at rollerblading,proficient,4,DB,68
294,294,6812027210,632,640,360,is the baby able to make meaningful conversation at this age,no,3,DB,25
332,332,2857624971,780,320,240,is the scene near the surface or deep in the ocean,deep in the ocean,0,DB,58
337,337,8671680638,312,640,360,did the lady take anything when she left the sofa,no,3,DB,27
339,339,5386700793,1335,640,360,was the dog wearing a leash when walking,yes,4,DB,71
341,341,5827678428,827,640,360,is the man in red geared in safety equipment,yes,4,DB,50
348,348,10356090554,603,640,360,was the grey shirt man helping to fold the clothes,no,4,DB,68
363,363,7005323824,928,568,320,is the girl skilled in feeding herself,no,0,DB,68
369,369,3828379201,1867,640,480,did the boy in blue shirt enjoy playing with the girl,yes,6,DB,68
374,374,3279406187,408,640,480,did the man in blue react when the girl on the right bumped into his shoulder,no,6,DB,58
385,385,3010630754,728,640,480,is the boy the only one at the table,yes,5,DB,27
387,387,10262640166,4320,640,358,judging from the looks is this place a classroom,yes,2,DB,62
389,389,5358341258,1180,640,480,do any other creatures appear at all,no,9,DB,45
402,402,4161907138,949,640,428,is the baby enjoying himself on the lady s lap,yes,2,DB,38
404,404,5019522100,1251,640,360,is the baby ticklish,yes,1,DB,38
406,406,4035220404,1439,320,240,does anyone pick up the phones in the video,no,5,DB,3
407,407,4042316957,1202,640,480,is the girl able to swim on her own,no,1,DB,68
420,420,9560998032,1284,272,480,did the lady bite the baby s fingers hardly,no,8,DB,25
428,428,6194807654,2124,640,360,did the lady almost trip in the midde of the video,yes,2,DB,58
429,429,7163366568,350,320,240,are the ladies having a fun time in the company of one another,yes,5,DB,58
441,441,4850672344,744,640,424,is it safe for the people to gear in slippery shoes to walk this path,no,3,DB,39
466,466,4839268164,657,640,480,is the cup empty,yes,6,DB,68
478,478,9579546236,710,640,1138,was the child wearing shoes when using the toy,no,7,DB,27
492,492,2580084498,810,640,480,are the babies stable on standing yet,no,5,DB,38
506,506,4904421992,365,640,480,would this show appeal to children or adults,children,4,DB,65
513,513,12681500005,597,640,360,was the kid paying attention to the lady at the start of the video,no,4,DB,59
516,516,2764832695,930,640,480,does the boy in blue stripes want to have the toys that the lady in green are wearing,yes,6,DB,38
534,534,4348188156,748,640,480,is the boy a beginner in board surfing,yes,6,DB,68
561,561,5374381004,950,568,320,is the dog good at aiming,yes,1,DB,71
569,569,5291771072,620,480,640,is the woman proficient at ice skating,yes,2,DB,22
571,571,12080008545,1482,640,360,are the boys very excited,yes,2,DB,68
587,587,2598449017,409,500,375,is the cow the lady in white is on real,no,5,DB,64
596,596,3726334221,340,320,240,was the lady wearing protective gear while shooting,no,5,DB,58
612,612,6016405951,1887,640,480,is the brown dog persistent and calm when biting onto the toy,yes,3,DB,27
616,616,5387288470,975,640,360,is the dog owned,yes,2,DB,71
617,617,8711188826,468,640,480,are the people at home,yes,2,DB,27
680,680,2618747005,786,640,480,is the lady in the swing afraid of heights,no,2,DB,38
692,692,6398238155,777,640,360,are the children at home or outside,home,6,DB,68
707,707,5017765978,792,320,240,are the men playing or fighting,playing,2,DB,58
712,712,8632957124,310,640,1138,did the boy fall at the end,no,9,DB,68
717,717,5620721035,430,640,480,was the baby crawling on the floor or on the mat near the end,mat,4,DB,27
