Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
23,23,9170253388,451,640,640,how many people are kayaking in the video,two,4,DC,61
24,24,10174423206,324,640,360,how many people are involved in the video,two,7,DC,68
43,43,3456999399,432,640,480,how many people are on the boat,three,7,DC,68
68,68,4943421690,1101,640,360,how many people are there,three,9,DC,40
117,117,4437974380,608,640,480,how many people are involved in the video,two,6,DC,38
175,175,2403134475,683,640,480,how many people are in the video,four,2,DC,58
183,183,7001369162,691,640,360,how many children are there,three,9,DC,68
190,190,12080008545,1482,640,360,how many people are involved in the video,four,10,DC,68
210,210,12212440674,435,640,360,how many kids are there,two,8,DC,68
218,218,3720290162,2526,640,480,how many beer cans were taken by both boys,two,10,DC,68
259,259,5649162069,773,640,480,how many people are involved in the video,two,9,DC,31
292,292,5659032762,1382,480,640,how many people are there in the video,four,5,DC,58
301,301,5306491665,594,640,480,how many children are in the room,three,6,DC,38
378,378,7471812372,1712,640,360,how many dogs are there,one,8,DC,71
410,410,9253920286,442,640,360,how many canoes are there,one,2,DC,61
505,505,3945952313,1117,640,480,how many people are there in the room,two,7,DC,38
648,648,3261412202,779,640,480,how many children are there,two,9,DC,38
664,664,8973087071,520,320,240,how many tools was used to cut the wood,one,5,DC,58
669,669,3306288227,1669,640,480,how many babies are there,two,2,DC,38
695,695,2503862291,851,640,480,how many times did the baby flip through the book,two,7,DC,68
802,802,3350158392,1148,320,240,how many boys are involved in the video,five,10,DC,68
825,825,3353539556,1820,640,360,how many people board the vehicle at the end,five,11,DC,29
942,942,4789497818,830,320,240,how many horses are there can be seen in the video,four,4,DC,67
962,962,3585107631,2697,640,436,how many dogs are present in the video,one,10,DC,16
1001,1001,8252119570,1857,640,360,how many people are filmed,four,6,DC,62
1013,1013,3997525404,1561,640,480,how many times did the man play fetch with the dog in this video,twice,9,DC,71
1122,1122,4196939189,1863,640,480,how many people are filmed,two,9,DC,68
1141,1141,4760962392,2697,640,480,how many children are there,three,8,DC,77
1147,1147,4403191162,1631,480,640,how many children are there in the video,two,11,DC,68
1156,1156,5224805531,1287,640,480,how many candles were there on the cake,three,9,DC,38
1178,1178,4904421992,365,640,480,how many performers can be seen in the video,three,8,DC,65
1206,1206,3101007084,1003,320,240,how many horses are there,two,5,DC,67
1235,1235,4653160762,705,320,240,how many people are involved in the video,one,8,DC,25
1239,1239,6188920051,1387,640,480,how many wheels do the bicycle have,three,7,DC,50
1355,1355,4752415837,900,640,480,how many kids are on the carousel,four,5,DC,64
