Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
3,3,8564700985,1616,640,360,how does the boy look sitting on the swing at the beginning of the video,scared,1,CH,25
11,11,7771703764,1658,640,360,how does the woman control the movement of the black dog,leash,0,CH,71
14,14,2867108011,876,640,480,how did the boys move the virtual ball around the screen,hit it with a toy,0,CH,77
29,29,4759925924,794,640,360,how do the people keep the sun from hurting their eyes,wear sunglasses,2,CH,39
32,32,4090707616,436,352,288,how did the adult got the dog s attention,showing the toy,8,CH,64
34,34,7033407269,1332,640,360,how did the lady in dark shirt look while being served the food at the restaurant,excited,0,CH,5
44,44,4801016360,1035,640,428,how does the baby prevent food spill onto her clothes,wear a bib,2,CH,38
49,49,4967363921,1525,640,480,how did the lady in blue clean her mouth at the start of the video,use napkin wipe,7,CH,77
52,52,4486495295,481,640,428,how did the dog get his treat from the person behind the camera,ate from his hand,1,CH,71
53,53,4759925924,794,640,360,how does the man in black pretend to be a bull,pretend he has horns using fingers,0,CH,39
59,59,5597037980,1205,320,240,how did the boy pick up the bottle from the ground,squat down and picked it,5,CH,77
86,86,7748596700,304,640,352,how did the lady show that she was concerned about the child cycling down,stands near the slope,2,CH,68
128,128,6188920051,1387,640,480,how can you tell that the woman is talking,mouth moving,1,CH,50
136,136,3472706332,1075,640,360,how does the man guide the dog at the end of the video,carry dog through hoop,4,CH,71
150,150,6878273952,905,640,480,how did the boy move around in the video,using the baby walker,5,CH,25
179,179,3828553144,909,640,480,how did the man hit the ball when it comes near him,swing bat,8,CH,15
180,180,4458207675,816,640,360,how did the dogs move themselves to the van,walking,5,CH,52
182,182,2685836225,932,500,375,how does the girl manage to get on to the chair at the end,climb on the chair,8,CH,68
185,185,5808252980,1090,640,480,how does the baby engage with the book,flip the pages,6,CH,38
186,186,5208873554,2254,640,480,how is the boy restrained on the bicycle,baby seat,5,CH,50
196,196,9026085228,672,640,424,how do the birds hover over the water feeder,flapping their wings,2,CH,33
197,197,12641085274,1495,640,480,how did the men move closer towards their target,walk slowly and crounched down,9,CH,58
199,199,11176411044,1846,640,480,how did the woman showed her affection for the baby,rub the baby s head,4,CH,27
