Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
4,4,4687190278,1263,640,480,what does the lady in specs do after seeing the boy wants to look at the phone,put him down,6,TN,68
18,18,3908679408,2697,640,362,what does the baby do after picking up a piece of food,put in mouth,6,TN,25
25,25,2497715735,320,320,240,what did the man in green do after he finished dancing at the end of the video,leave hands of lady in blue,6,TN,58
45,45,5329653093,2250,640,480,what does the black dog do after the brown dog lies down in front of it,plays with the brown dog,10,TN,71
46,46,8629407761,977,640,1138,what does the baby do after uncover his face from the blanket,laugh,8,TN,38
48,48,4890651848,1316,640,480,what does the man in green do after he puts his hand in his pocket at the start,take bullets out,6,TN,58
50,50,3958390317,963,640,480,what did the man in black do after he stopped hammering the second time in the middle,move to see the other man,1,TN,58
51,51,6598464203,2250,640,480,what does the white cat do after jumping back across the white pillow the second time,pounce on black cat,1,TN,1
55,55,8306224570,484,640,430,what did the lady in white do with her phone after she used it,close the cover,2,TN,77
56,56,6141007489,1676,640,360,what does the girl in green pants do after running close to the ball at the start,pick ball up,5,TN,16
62,62,5398268379,873,640,360,what did the girl in front of the cake do after she was kissed near the end,pick up the candle,3,TN,77
65,65,5773605089,1371,640,360,what did the woman in grey do after the child hit the orange block in at the start,crawl to the side,10,TN,68
69,69,5769549970,1131,640,360,what does the man in dark blue do after turning his head towards the police at the end,hit him,10,TN,52
84,84,3224556776,486,640,480,what did the boy do after playing with the baby for a while,playing with sofa,6,TN,68
91,91,8013531249,502,640,360,what happens to the structure after the boy in yellow turns it on,starts moving,5,TN,68
93,93,2513208116,2697,640,480,what does the man in light brown do after the man in black cap hits the ball at the start,put golf ball on floor,6,TN,15
100,100,10516079413,1608,640,1138,what does the baby do after putting his circle toy down at the start,take the doll,7,TN,38
108,108,6478865241,2697,640,360,what did the girl in white do after she kneeled up on the chair at the beginning of the video,move arm in air,11,TN,16
118,118,5157086254,498,640,480,what does the lady in blue do after the girl in pink reaches out her legs in the middle,stretch her feet,7,TN,68
129,129,4021064662,570,640,480,what did the boy in red hat do after catching the ball,run towards man in red,2,TN,68
134,134,9223935720,1004,640,480,what does the girl do after kneeling down in front of the tv at the start,play around the tv set,3,TN,68
148,148,5471598600,1260,640,480,what did the lady in white hoodie do after the lady in puffy jacket turned back,continue walking,8,TN,58
157,157,2783505892,2697,320,240,what does the girl do after listening to the lady for a while,walks to the boy,7,TN,68
163,163,5154656564,722,640,360,what does the man in black do after moving back to the rostrum,change slides,5,TN,62
172,172,3574384655,2250,640,480,what did the horse do after it slowed down for a while in the middle of the video,rides again,9,TN,67
189,189,5937853314,589,640,1138,what did the baby pull after the middle of the video to play,lady s hair,6,TN,38
195,195,5435149690,2250,640,480,what does the person holding the beer bottle do after raising it for a while at the start,lowers it,5,TN,65
211,211,4061202144,2697,640,360,what did the baby do after being fed the first few times,soit food out,5,TN,7
214,214,8760033230,1980,640,360,what did the lady in white do after she turned around to face those behind,play guitar,7,TN,65
216,216,2591438838,1442,500,375,what does the baby do after feeding himself using the spoon at the start,look behind him,6,TN,38
226,226,8106418518,2160,640,360,what does the woman in black do after sitting for a while at the start,look at the lady in red,4,TN,16
236,236,7933516656,1080,640,360,what does the bear do after entering in the water for a while,move its body,5,TN,72
254,254,4857066914,1356,640,480,what did the person in black standing do after the man in white finished his performance,clap,0,TN,59
256,256,5867905141,650,640,480,what did the girl do after she turned one round near the middle,move to her left,2,TN,68
258,258,8718405167,513,640,360,how does the lady in green react after the lady in grey sit down,laugh,7,TN,27
266,266,2869614883,786,640,480,what does the girl in blue do after sliding down at the start,jump up snd down,10,TN,64
267,267,4501146951,1747,640,360,what did the boy in white do after the boy in grey first ran off,run off,6,TN,68
270,270,3420639395,451,320,240,what did the woman do after she surfed back to shore at the middle of the video,stand up,4,TN,73
274,274,2498105674,1392,320,240,what did all four men in the water do after all of them have jumped into the water,swim around,4,TN,39
278,278,4976006471,2661,320,240,why did the lady beside the lady in pink do after she tilted her head back,touch face,0,TN,58
296,296,8038697746,1800,640,480,what does the man in blue do after he has finished talking at the end,clap,8,TN,77
297,297,9577659959,1126,640,360,how did the man in red react after the man in sunglasses walked off,look at him,3,TN,62
303,303,11961400954,1202,640,360,what did the lady wearing the pink hat do after pointing to her right,talk to girl on her left,9,TN,77
312,312,5761415508,1369,568,320,what does the man do after the cat bend its neck backwards near the end,shake its paw,8,TN,1
