Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
1,1,2414793083,2584,640,480,what did the baby do at the end of the video,hit the air,1,TC,25
2,2,6083954222,2642,640,1138,how did the boy in bue react when he saw a ball in the net near the end,push the ball through the net,13,TC,68
9,9,2579822208,786,640,512,what time of the day is this happening,morning,10,TC,52
17,17,5408515926,1176,640,360,what activity is the girl in white shirt doing,riding scooter,11,TC,68
30,30,10945593344,2466,640,1138,what does the man in grey hold onto while standing,rope,2,TC,58
35,35,6188074487,1378,480,360,how is the lady feeling in this video,feel relaxed and happy,6,TC,61
60,60,12719814563,855,640,480,what does the lady do while checking the documents,dancing,2,TC,62
64,64,6335208280,1248,640,384,how did the children react when the man grab them from the back,tried to attack him,7,TC,68
72,72,8411367591,961,640,1138,how did the boy in green react to the man with black jacket at the beginning of the video,ignore,13,TC,38
85,85,2622708989,675,640,480,what is the man with hat doing as the dog runs around,dog rubbed something from man,1,TC,71
89,89,5654616479,876,640,480,how did the man with the gun reacted when the man with checkered shirt threw a bullet at him,turned around to dodge,9,TC,62
102,102,5012762688,683,640,480,what do the birds react when another birds come on the net bag,fly away,2,TC,33
107,107,3676488640,2430,480,640,how did the baby show that she is bored,hit the table,1,TC,25
110,110,2478396375,1050,640,480,what did the girl do to make the baby excited,cover him with the blanket,2,TC,38
116,116,2449977205,612,640,480,what is the lady in black doing on the beach,surfing,5,TC,71
140,140,3093627135,1252,640,480,how did the girl in polka dots react when the girl in pink is removing the paper,remove the paper too,2,TC,64
144,144,3199291548,720,640,480,what did the machines do when the man released them on the floor,move forwards,6,TC,64
145,145,3525082926,1036,640,360,what did the man do as he walked back to get another ball,shake his head,2,TC,62
153,153,4845474028,1230,640,480,what are the puppies doing in this video,resting,8,TC,71
158,158,6110761249,1802,640,480,what was the lady doing as the boy and baby played with the toy at the beginning of the video,take photos,5,TC,68
159,159,3924742603,1464,640,360,how does the couple feel as they walked down side by side together,happy,6,TC,58
160,160,8212773822,1461,640,360,what did the dog do when the girl fell,smell the girl,8,TC,71
173,173,8697708107,408,640,480,how does the person entice the cat with the food,move the bowl of food around,7,TC,27
177,177,6912784558,524,640,360,what does the boy do with the mickey toy at the end,throw it down,1,TC,68
178,178,5994972300,1399,640,360,how do the dogs react when the man gets close to them,wag their tails,2,TC,71
184,184,9662978367,879,640,360,what does the boy hold onto while pedalling,handles of bicycle,4,TC,68
194,194,8670554760,332,640,360,what does the player in front of the goal do as the player in brown approaches at the start,moves left and right,4,TC,15
202,202,3359322044,908,320,240,what did the man in blue do as he talked to the camera in the beginning of the video,walk forward,6,TC,39
234,234,4992749220,1230,640,480,what activity is being carried out,feeding medicine,5,TC,38
235,235,10521491465,1735,640,360,what is the panda on the grass in front of the stonewall doing,smelling and eating leaves,7,TC,4
280,280,6323697951,1390,640,360,what did the brown dog do when the man grabbed his mouth,move away,7,TC,71
281,281,9142677586,1211,640,362,how is the baby feeling at the start,happy,1,TC,38
289,289,5757232720,2697,640,480,what did the girl do when she was near the window,look outside,11,TC,77
293,293,2970068527,1125,640,480,what does the lady do when the boy shows foam to her near the end,blow it,7,TC,68
307,307,3110922783,1566,640,480,what is the man with blue hat doing as he stood in his car,take picture of the lions,2,TC,52
314,314,6502526601,1740,640,360,what does the boy in red do at the start while the two other children are behind him,moves the string on the jacket,0,TC,68
317,317,10717276603,2028,640,360,what does the boy do as the adult follows him behind,walk around the store,3,TC,68
336,336,2399809077,2697,480,360,how did the girl carry her backpack,over her right shoulder,0,TC,52
344,344,4783216249,2459,640,360,what did the girl do initially when the man approached her,cover her mouth,0,TC,55
358,358,4443349080,1550,640,360,how does the boy react when the ball bounces off the fence back at him,kneel down to pick it,6,TC,68
371,371,4849169953,1955,640,480,what is the baby doing with the green toy,curious,7,TC,25
