Unnamed: 0,Unnamed: 0.1,video,frame_count,width,height,question,answer,qid,type,bigCate
8,8,3301442525,850,640,480,where is this place,car shop,7,DL,52
19,19,8442904731,986,640,360,where is this place,living room,9,DL,27
31,31,2499582434,670,480,270,where is the event being held,event hall,7,DL,77
77,77,3286387512,425,320,240,where are the people at,house,5,DL,27
109,109,10440439946,1190,640,1128,where is this video taken,playground,0,DL,68
113,113,2580553233,837,480,360,where is he singing,room,9,DL,77
120,120,3148635011,1300,640,480,where is this happening,room,9,DL,68
127,127,2869457864,1063,500,375,where is this happening,in the house,8,DL,71
131,131,7966428674,881,640,480,where are the birds present,grassland,9,DL,33
155,155,4220014569,2499,640,360,where is this video taken,dining table,7,DL,77
168,168,4710412048,1247,640,360,where are they dancing,carpark,10,DL,52
187,187,6279359447,478,640,362,where is this happening,road,10,DL,7
213,213,5916232981,515,272,480,where is this place,their house,8,DL,68
220,220,4766353463,409,640,480,where is this place,train station,6,DL,37
225,225,6380588875,2098,640,360,where did the boy in blue point towards,kitchen,4,DL,59
232,232,4825249972,926,640,360,where is this video taken,house,9,DL,27
240,240,10433303123,445,640,360,where is this video taken,swimming pool,4,DL,68
241,241,8026457212,1962,640,480,where is this video taken,living room,6,DL,68
247,247,10387715274,525,640,360,where is this video taken,stadium,4,DL,23
285,285,4960594555,2276,640,480,where is this video taken,mountain,6,DL,39
302,302,5991628432,548,320,568,where is this happening,living room,7,DL,64
313,313,11688108404,431,640,1138,where are the people hanging out,the beach,9,DL,68
351,351,4794597968,1986,480,640,where is this video taken,living room,6,DL,27
368,368,8624212542,2325,640,360,where are the penguins hanging out,rocks,5,DL,78
440,440,5368243767,1679,640,1138,where are they,office,7,DL,29
453,453,10651643304,1151,640,360,where are the man and the dog hanging out,at home,6,DL,27
487,487,4789497818,830,320,240,where is the man hanging out,grassland,5,DL,67
496,496,4855795432,1298,640,480,where was the man standing,behind the lady,10,DL,12
524,524,3962139149,1433,640,480,where is this video taken,indoors,7,DL,77
537,537,6910682007,397,640,480,where is the baby resting,on the bed,7,DL,38
590,590,9390259410,814,640,360,where are the people hanging out,living room,6,DL,68
626,626,3283297593,310,640,480,where is this video taken,playground,8,DL,77
634,634,6591681113,834,640,360,where is this video taken,living room,5,DL,68
640,640,8325324994,2158,640,360,where is this happening,iving room,9,DL,68
645,645,6512025357,2510,640,1138,where is this happening,kitchen,9,DL,38
650,650,6385308823,1274,640,360,where was this activity being held,side of a road,8,DL,50
681,681,3043285355,1168,500,375,where is this happening,farm,7,DL,68
691,691,4731367454,2419,640,480,where is this happening,theatre,10,DL,65
732,732,7509993932,518,640,362,where is this happening,hospital,9,DL,68
736,736,8224945887,726,640,360,where are the baby and the man at,room,3,DL,68
764,764,12212857646,1171,640,360,where is this happening,in outdoors,11,DL,68
770,770,6576808811,1125,640,360,where is this video taken,living room,4,DL,68
783,783,2432368168,807,320,240,where is this happening in,aracade,5,DL,62
839,839,6946807250,1155,640,360,where are the dogs hanging out,farm area,2,DL,71
850,850,8364779007,1457,640,360,where are the boys hanging out,front yard,6,DL,23
863,863,2514339576,410,640,480,where is this video taken,hospital,6,DL,58
867,867,6078113613,2176,640,480,where is this occuring,living room,12,DL,68
868,868,7055097657,1238,640,480,where is this video taken,karaoke room,4,DL,77
869,869,6115756391,1233,640,360,where could this be happening,roadside,7,DL,67
881,881,5465483933,706,640,480,where are the people dancing,room,3,DL,16
882,882,3629931861,1376,320,240,where are the man and the dog hanging out,roadside,5,DL,52
889,889,5460164242,2565,640,480,where is this happening,in the living room,11,DL,27
901,901,6247230354,2370,640,480,where is the video taken,mountain range,5,DL,39
937,937,6059513937,930,640,360,where is this video taken,field,4,DL,68
954,954,5414866308,1411,640,480,where is this place,living room,8,DL,38
967,967,4123326213,1545,640,480,where are the girls hanging out,room,4,DL,68
